Nom item;niveau;taux brisage initial;taux brisage après brisage;nombre d'items brisé en même temps
Ceinture du Directeur Grunob;36; 83 ; 82 ; 1
Ceinture du Directeur Grunob;36; 82 ; 82 ; 1
Ceinture du Directeur Grunob;36; 82 ; 82 ; 1
Ceinture du Directeur Grunob;36; 82 ; 82 ; 1
Ceinture du Directeur Grunob;36; 82 ; 81 ; 1
Ceinture du Directeur Grunob;36; 81 ; 81 ; 1
Ceinture du Directeur Grunob;36; 81 ; 81 ; 1
Ceinture du Directeur Grunob;36; 81 ; 81 ; 1
Ceinture du Directeur Grunob;36; 81 ; 80 ; 1
Ceinture du Directeur Grunob;36; 80 ; 80 ; 1
Ceinture du Directeur Grunob;36; 80 ; 80 ; 1
Ceinture du Directeur Grunob;36; 80 ; 80 ; 1
Ceinture du Directeur Grunob;36; 80 ; 79 ; 1
Ceinture du Directeur Grunob;36; 79 ; 79 ; 1
Ceinture du Directeur Grunob;36; 79 ; 79 ; 1
Ceinture du Directeur Grunob;36; 79 ; 79 ; 1
Ceinture du Directeur Grunob;36; 79 ; 78 ; 1

Geta Bernacle;100; 459 ; 253 ; 20
Chaussures Lepon-Davignon;100; 358 ; 346 ; 1
Chaussures Lepon-Davignon;100; 346 ; 335 ; 1
Chaussures Lepon-Davignon;100; 335 ; 325 ; 1
Chaussures Lepon-Davignon;100; 325 ; 315 ; 1
Chaussures Lepon-Davignon;100; 315 ; 305 ; 1
Chaussures Lepon-Davignon;100; 305 ; 297 ; 1
Chaussures Lepon-Davignon;100; 297 ; 288 ; 1
Chaussures Lepon-Davignon;100; 288 ; 281 ; 1
Chaussures Lepon-Davignon;100; 288 ; 281 ; 1
Chaussures Lepon-Davignon;100; 281 ; 273 ; 1
Chaussures Lepon-Davignon;100; 273 ; 266 ; 1


Pelle de Koutoulou;34; 51 ; 50 ; 2
Pelle de Koutoulou;34; 50 ; 50 ; 1
Pelle de Koutoulou;34; 50 ; 50 ; 1
Pelle de Koutoulou;34; 50 ; 50 ; 1
Pelle de Koutoulou;34; 50 ; 50 ; 1
Pelle de Koutoulou;34; 50 ; 50 ; 1
Pelle de Koutoulou;34; 50 ; 50 ; 1
Pelle de Koutoulou;34; 50 ; 50 ; 1
Pelle de Koutoulou;34; 50 ; 50 ; 1
Pelle de Koutoulou;34; 50 ; 50 ; 1
Pelle de Koutoulou;34; 50 ; 49 ; 1
Pelle de Koutoulou;34; 49 ; 49 ; 1
Pelle de Koutoulou;34; 49 ; 49 ; 1
Pelle de Koutoulou;34; 49 ; 49 ; 1
Pelle de Koutoulou;34; 49 ; 49 ; 1
Pelle de Koutoulou;34; 49 ; 49 ; 1
Pelle de Koutoulou;34; 49 ; 49 ; 1
Pelle de Koutoulou;34; 49 ; 49 ; 1
Pelle de Koutoulou;34; 49 ; 49 ; 1
Pelle de Koutoulou;34; 49 ; 49 ; 1
Pelle de Koutoulou;34; 49 ; 49 ; 1
Pelle de Koutoulou;34; 49 ; 49 ; 1
Pelle de Koutoulou;34; 49 ; 49 ; 1
Pelle de Koutoulou;34; 49 ; 48 ; 1
Pelle de Koutoulou;34; 48 ; 48 ; 1
Pelle de Koutoulou;34; 48 ; 48 ; 1
Pelle de Koutoulou;34; 48 ; 48 ; 1
Pelle de Koutoulou;34; 48 ; 48 ; 1
Pelle de Koutoulou;34; 48 ; 48 ; 1
Pelle de Koutoulou;34; 48 ; 48 ; 1
Pelle de Koutoulou;34; 48 ; 48 ; 1
Pelle de Koutoulou;34; 48 ; 48 ; 1
Pelle de Koutoulou;34; 48 ; 48 ; 1
Pelle de Koutoulou;34; 48 ; 48 ; 1
Pelle de Koutoulou;34; 48 ; 48 ; 1
Pelle de Koutoulou;34; 48 ; 47 ; 1
Pelle de Koutoulou;34; 47 ; 47 ; 1
Pelle de Koutoulou;34; 47 ; 47 ; 1
Pelle de Koutoulou;34; 47 ; 47 ; 1
Pelle de Koutoulou;34; 47 ; 47 ; 1
